Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
52,male,2,own,little,,3077,12,radio/TV
62,female,2,free,little,,3757,24,car
35,male,1,rent,moderate,,1418,10,car
26,male,2,rent,little,,3518,6,car
26,male,2,own,little,,1934,12,radio/TV
42,female,3,free,little,moderate,8318,27,business
27,female,2,own,moderate,,1237,6,radio/TV
38,male,2,own,,moderate,368,6,radio/TV
39,male,1,rent,little,little,2122,12,car
20,male,2,own,,little,2996,24,furniture/equipment
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment
40,male,2,own,little,,1585,24,furniture/equipment
32,male,1,own,little,moderate,1301,18,radio/TV
28,male,2,own,moderate,rich,1323,6,car
27,female,2,own,little,little,3123,24,car
42,male,2,free,little,little,5493,36,car
49,male,2,own,moderate,rich,1126,9,radio/TV
38,male,2,own,moderate,moderate,1216,24,radio/TV
24,female,2,rent,little,little,1207,24,car
27,male,1,own,,,1309,10,car
36,male,2,own,quite rich,rich,2360,15,car
34,male,3,own,moderate,moderate,6850,15,car
28,male,2,own,little,,1413,24,radio/TV
45,male,3,own,moderate,,8588,39,car
26,male,2,own,little,little,759,12,car
32,male,3,free,little,,4686,36,car
26,male,2,rent,little,rich,2687,15,business
20,male,2,rent,little,moderate,585,12,radio/TV
54,male,2,own,,,2255,24,car
37,female,2,own,little,little,609,6,car
40,male,1,own,little,little,1361,6,car
23,female,2,rent,little,,7127,36,furniture/equipment
43,male,2,own,moderate,little,1203,6,car
36,male,2,free,,,700,6,radio/TV
44,male,2,free,little,,5507,24,repairs
24,female,2,own,little,little,3190,18,radio/TV
53,male,2,free,little,little,7119,48,furniture/equipment
23,female,2,own,moderate,,3488,24,car
26,female,1,own,little,moderate,1113,18,radio/TV
30,male,2,own,little,moderate,7966,26,car
31,female,2,own,moderate,,1532,15,education
42,male,1,own,little,,1503,4,radio/TV
31,male,2,rent,little,little,2302,36,radio/TV
41,male,1,own,little,little,662,6,car
32,male,2,own,little,moderate,2273,36,education
28,female,2,rent,moderate,moderate,2631,15,car
41,male,2,rent,little,,1503,12,car
26,male,2,own,moderate,,1311,24,radio/TV
25,male,2,own,,,3105,24,radio/TV
33,male,2,rent,little,rich,2319,21,education
75,female,3,own,,little,1374,6,car
37,female,2,own,little,moderate,3612,18,furniture/equipment
42,male,3,free,little,little,7763,48,car
45,female,1,own,little,rich,3049,18,furniture/equipment
23,male,2,rent,little,moderate,1534,12,radio/TV
60,male,2,free,little,,2032,24,car
31,male,2,own,,little,6350,30,furniture/equipment
34,male,1,own,little,rich,2864,18,furniture/equipment
61,male,1,own,little,,1255,12,car
43,male,2,free,little,little,1333,24,car
37,female,2,own,little,,2022,24,car
32,male,2,own,little,,1552,24,radio/TV
24,female,1,own,little,little,626,12,radio/TV
35,male,2,free,,,8858,48,car
23,female,2,own,,,996,12,repairs
45,male,1,own,quite rich,,1750,6,radio/TV
34,male,2,own,little,little,6999,48,radio/TV
27,male,2,own,moderate,moderate,1995,12,car
67,female,3,own,little,moderate,1199,9,education
22,male,2,own,little,moderate,1331,12,radio/TV
28,female,2,own,moderate,moderate,2278,18,car
29,female,2,own,,,5003,21,car
27,male,2,own,little,little,3552,24,furniture/equipment
31,male,1,own,little,moderate,1928,18,furniture/equipment
49,male,2,free,,little,2964,24,car
24,male,1,rent,little,little,1546,24,radio/TV
29,female,2,own,little,rich,683,6,radio/TV
37,male,2,free,,moderate,12389,36,car
37,male,3,own,,moderate,4712,24,business
23,female,2,rent,moderate,moderate,1553,24,radio/TV
36,male,2,own,little,little,1372,12,car
34,male,2,own,rich,,2578,24,radio/TV
41,male,2,own,,moderate,3979,48,radio/TV
31,female,2,own,little,little,6758,48,radio/TV
23,female,1,rent,little,little,3234,24,furniture/equipment
38,male,2,own,little,,5954,30,radio/TV
26,female,3,rent,,,5433,24,car
22,female,1,own,little,little,806,15,business
27,male,1,own,little,moderate,1082,9,radio/TV
24,female,2,own,little,,2788,15,furniture/equipment
27,female,2,own,little,moderate,2930,12,radio/TV
33,female,2,own,,,1927,24,education
27,male,2,own,little,moderate,2820,36,car
27,male,1,own,little,,937,24,education
30,male,2,own,little,moderate,1056,18,car
49,male,1,own,little,moderate,3124,12,car
26,female,2,rent,little,,1388,9,furniture/equipment
33,male,1,rent,little,moderate,2384,36,repairs
52,female,3,free,,,2133,12,car
20,female,2,rent,little,little,2039,18,furniture/equipment
36,male,2,rent,little,little,2799,9,car
21,male,1,own,little,little,1289,12,furniture/equipment
47,male,1,own,little,little,1217,18,domestic appliances
60,male,2,own,little,little,2246,12,furniture/equipment
58,female,1,own,little,little,385,12,radio/TV
42,female,2,rent,,moderate,1965,24,car
36,female,1,own,rich,,1572,21,business
20,female,1,rent,little,moderate,2718,24,car
40,male,3,own,,little,1358,24,vacation/others
32,female,1,own,moderate,moderate,931,6,car
23,female,2,rent,little,little,1442,24,car
36,male,1,own,little,moderate,4241,24,business
31,male,2,own,little,,2775,18,car
32,male,2,free,little,,3863,24,business
45,female,2,own,little,moderate,2329,7,radio/TV
30,female,2,own,little,moderate,918,9,furniture/equipment
34,female,1,free,little,moderate,1837,24,education
28,female,3,own,little,,3349,36,furniture/equipment
23,female,2,own,little,rich,1275,10,furniture/equipment
22,male,2,own,quite rich,little,2828,24,furniture/equipment
74,male,3,own,little,,4526,24,business
50,female,2,free,moderate,moderate,2671,36,radio/TV
33,male,2,own,little,,2051,18,radio/TV
45,male,2,free,,,1300,15,car
22,female,2,own,moderate,little,741,12,domestic appliances
48,female,1,free,moderate,rich,1240,10,car
29,female,2,own,rich,little,3357,21,radio/TV
22,female,2,rent,little,little,3632,24,car
22,female,2,own,little,,1808,18,furniture/equipment
48,male,3,own,,moderate,12204,48,business
27,male,3,free,,moderate,9157,60,radio/TV
37,male,2,rent,little,little,3676,6,car
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
49,male,1,own,little,,640,12,car
27,male,2,own,little,moderate,3652,21,business
32,male,2,own,little,,1530,18,car
38,male,2,own,,,3914,48,business
22,female,2,rent,little,little,1858,12,furniture/equipment
65,male,2,free,little,little,2600,18,radio/TV
35,male,2,own,,,1979,15,radio/TV
41,male,2,own,little,rich,2116,6,furniture/equipment
29,male,2,own,moderate,moderate,1437,9,car
36,male,2,own,quite rich,,4042,42,furniture/equipment
64,male,1,own,,,3832,9,education
28,female,2,own,little,little,3660,24,radio/TV
44,male,2,own,little,little,1553,18,furniture/equipment
